problem_id,title,difficulty,acceptance_rate_if_available,inferred_family,subfamily,state_shape,recurrence_shape,evaluation_order,transition_cost,likely_time_complexity,likely_space_complexity,top_down_or_bottom_up_preferred,optimization_primitives,representative_or_not,confidence,notes
1771,Maximize Palindrome Length From Subsequences,Hard,38.4%,Palindrome / Subsequence DP,Palindrome subsequence interval DP,dp[l][r],if ends match use inner; else drop one end,increasing interval length,O(1),O(n^2),O(n^2),bottom-up by length,rolling diagonals sometimes,representative,manual-high,Subsequence interval DP; not center expansion.
1774,Closest Dessert Cost,Medium,48.7%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
1786,Number of Restricted Paths From First to Last Node,Medium,41.1%,Shortest-Path-Like DP,Bounded-edge or path-cost DP,dp[steps][v] or dist/cost state,relax incoming/outgoing edges,by steps or priority order,O(E),O(K E) or graph-dependent,O(V*K),Bellman-Ford style or Dijkstra+state,edge relaxation; heap; pruning,representative,heuristic-high,Graph DP where edges are recurrence relationships.
1787,Make the XOR of All Segments Equal to Zero,Hard,40.6%,Partition DP,Prefix partition / cut DP,dp[i] or dp[i][k] over first i items/characters,choose previous cut j and combine segment cost,"increasing i, sometimes increasing k",O(n) cut choices,O(n^2) or O(kn^2),O(nk),bottom-up or memo,prefix sums; precomputed segment costs; monotonic optimizations if valid,non-representative / later refinement,heuristic-high,The recurrence is usually min/max over previous cut position.
1799,Maximize Score After N Operations,Hard,57.9%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,representative,heuristic-high,Mask is likely from subset constraints or bitwise states.
1815,Maximum Number of Groups Getting Fresh Donuts,Hard,41.3%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
1824,Minimum Sideway Jumps,Medium,51.6%,Graph-as-DP / DAG DP,Reachability/path DP over implicit graph,dp[state],transition over legal moves,topological if acyclic; otherwise BFS/Dijkstra/memo,degree-dependent,state_count * degree,state_count,depends,memoization; shortest path algorithms,non-representative / later refinement,heuristic-medium,Implicit graph may not be a DAG; verify cycles.
1857,Largest Color Value in a Directed Graph,Hard,57.3%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,representative,heuristic-high,Mask is likely from subset constraints or bitwise states.
1866,Number of Ways to Rearrange Sticks With K Sticks Visible,Hard,61.3%,Counting Combinatorics DP,Linear recurrence / finite-state counting,dp[i][state] or dp[i],append one unit/object and update state,increasing size/index,state-dependent,O(n * state_count * transitions),O(state_count),bottom-up,matrix exponentiation if needed; rolling states,non-representative / later refinement,heuristic-high,Counting DP often uses finite automaton states.
1871,Jump Game VII,Medium,26.6%,DP with Monotonic Deque,Sliding-window max DP,dp[i] = nums[i] + max dp[j] for j in window,take best reachable previous state,left-to-right,amortized O(1),O(n),O(n),bottom-up,monotonic deque,representative,manual-high,Deque stores candidate previous dp values in decreasing order.
1872,Stone Game VIII,Hard,53.9%,Game DP / Minimax Boundary,Stone Game VI greedy game swing,sorted choices by combined swing,greedy pick by alice[i]+bob[i],descending swing order,O(log n) sort comparison,O(n log n),O(n),greedy boundary,sort by total swing,representative,manual-high,Greedy exception in Stone series; not interval DP.
1879,Minimum XOR Sum of Two Arrays,Hard,51.1%,Bitmask DP,Assignment / coverage bitmask DP,dp[mask] or dp[i][mask],choose next item/person/group to expand covered mask,increasing mask/popcount or item index,O(n) choices per mask,O(n*2^m) typical,O(2^m),top-down memo or bottom-up mask,precompute contribution; sparse masks,representative,heuristic-high,Bitmask over covered requirements or assigned entities.
1883,Minimum Skips to Arrive at Meeting On Time,Hard,38.6%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
1884,Egg Drop With 2 Eggs and N Floors,Medium,74.8%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
1888,Minimum Number of Flips to Make the Binary String Alternating,Medium,53.5%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
1896,Minimum Cost to Change the Final Value of Expression,Hard,49.7%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
1900,The Earliest and Latest Rounds Where Players Compete,Hard,72.3%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
1908,Game of Nim,Medium,62.9%,Game DP / Minimax Boundary,Residue/count game theory,counts / residue state,winning condition by count/residue transitions,game-specific order or direct theorem,varies,varies,varies,case analysis or memo,residue compression,non-representative / later refinement,heuristic-high,Often reduces to game theory rather than table DP.
1911,Maximum Alternating Subsequence Sum,Medium,59.0%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
1916,Count Ways to Build Rooms in an Ant Colony,Hard,51.4%,Tree DP,Postorder tree DP,dfs(node) returns one or more states,combine child states at parent,postorder DFS,O(children states),O(n * state_count^2 typical),O(h) recursion plus state storage,recursive postorder,tuple states; rerooting if all-nodes answers,representative,manual-high,Tree edges define dependency DAG from children to parent or reroot passes.
1928,Minimum Cost to Reach Destination in Time,Hard,41.5%,Shortest-Path-Like DP,Bounded-edge or path-cost DP,dp[steps][v] or dist/cost state,relax incoming/outgoing edges,by steps or priority order,O(E),O(K E) or graph-dependent,O(V*K),Bellman-Ford style or Dijkstra+state,edge relaxation; heap; pruning,representative,heuristic-high,Graph DP where edges are recurrence relationships.
1931,Painting a Grid With Three Different Colors,Hard,77.1%,Grid DP,Row/column path or shape DP,dp[r][c] or dp[step][r][c],combine from neighboring cells / directions,"row-major, reverse, or BFS-like layers",O(neighbor count),O(mn*state),O(n*state) if rolling,bottom-up or memo DFS,rolling rows; prefix sums; direction arrays,non-representative / later refinement,heuristic-high,Grid topology gives natural DAG if moves are acyclic; cyclic movement may require graph shortest path/BFS.
1937,Maximum Number of Points with Cost,Medium,41.7%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
1947,Maximum Compatibility Score Sum,Medium,64.4%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
1955,Count Number of Special Subsequences,Hard,52.9%,Counting Combinatorics DP,Sequence/counting with category state,dp[i][state],append element satisfying category rules,increasing i,varies,varies,varies,bottom-up,compressed automaton states,non-representative / later refinement,heuristic-medium,Need statement to refine.
1959,Minimum Total Space Wasted With K Resizing Operations,Medium,43.8%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
1976,Number of Ways to Arrive at Destination,Medium,37.5%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,representative,heuristic-low,Classification inferred from title only; refine when expanding family.
1977,Number of Ways to Separate Numbers,Hard,21.6%,Digit DP,Digit tight-state DP,dp[pos][tight][started][extra_state],choose next digit respecting tight bound,left-to-right over digits,O(10 * extra_state),O(num_digits * states * 10),O(states),top-down memo usually,tight flag; leading-zero handling,representative,manual-high,Carefully separate started/leading zeros and tight/non-tight states.
1981,Minimize the Difference Between Target and Chosen Elements,Medium,36.9%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
1986,Minimum Number of Work Sessions to Finish the Tasks,Medium,34.8%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,representative,heuristic-high,Mask is likely from subset constraints or bitwise states.
1987,Number of Unique Good Subsequences,Hard,52.3%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
1994,The Number of Good Subsets,Hard,37.2%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
1997,First Day Where You Have Been in All the Rooms,Medium,40.4%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
2002,Maximum Product of the Length of Two Palindromic Subsequences,Medium,62.5%,Palindrome / Subsequence DP,Palindrome subsequence interval DP,dp[l][r],if ends match use inner; else drop one end,increasing interval length,O(1),O(n^2),O(n^2),bottom-up by length,rolling diagonals sometimes,representative,manual-high,Subsequence interval DP; not center expansion.
2003,Smallest Missing Genetic Value in Each Subtree,Hard,47.8%,Tree DP,Postorder tree DP,dfs(node) returns one or more states,combine child states at parent,postorder DFS,O(children states),O(n * state_count^2 typical),O(h) recursion plus state storage,recursive postorder,tuple states; rerooting if all-nodes answers,non-representative / later refinement,heuristic-high,Tree edges define dependency DAG from children to parent or reroot passes.
2005,Subtree Removal Game with Fibonacci Tree,Hard,57.5%,Tree DP,Postorder tree DP,dfs(node) returns one or more states,combine child states at parent,postorder DFS,O(children states),O(n * state_count^2 typical),O(h) recursion plus state storage,recursive postorder,tuple states; rerooting if all-nodes answers,non-representative / later refinement,heuristic-high,Tree edges define dependency DAG from children to parent or reroot passes.
2008,Maximum Earnings From Taxi,Medium,46.5%,Weighted Interval / Scheduling DP,Sorted intervals + previous compatible index,dp[i] best using first i jobs/events,take current + dp[p(i)] or skip,increasing sorted end/start,O(log n) for p(i),O(n log n),O(n),bottom-up,binary search previous compatible; heap alternative,non-representative / later refinement,heuristic-high,Greedy interval scheduling becomes DP when weights/profits matter.
2019,The Score of Students Solving Math Expression,Hard,34.2%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
2035,Partition Array Into Two Arrays to Minimize Sum Difference,Hard,23.4%,Partition DP,Prefix partition / cut DP,dp[i] or dp[i][k] over first i items/characters,choose previous cut j and combine segment cost,"increasing i, sometimes increasing k",O(n) cut choices,O(n^2) or O(kn^2),O(nk),bottom-up or memo,prefix sums; precomputed segment costs; monotonic optimizations if valid,non-representative / later refinement,heuristic-high,The recurrence is usually min/max over previous cut position.
2036,Maximum Alternating Subarray Sum,Medium,39.9%,Kadane / Local-Global DP,Local/global subarray DP,local state ending at i + global answer,extend previous subarray or restart / update transformed state,left-to-right,O(1),O(n),O(1),bottom-up scan,track min/max product; prefix extrema,non-representative / later refinement,heuristic-high,Subarray means contiguous; usually local state ending here is the key.
2050,Parallel Courses III,Hard,66.8%,Graph-as-DP / DAG DP,Course prerequisite DAG DP,dp[course] or topological level/state,combine predecessor completion times / choose subset,topological order or bitmask semesters,degree/subset-dependent,O(V+E) or exponential for subset scheduling,varies,topological DP or bitmask DP,toposort; bitmask if parallel constraints,representative,heuristic-high,"If prerequisites form DAG, topo order gives DP order."
2052,Minimum Cost to Separate Sentence Into Rows,Medium,51.1%,Partition DP,Prefix partition / cut DP,dp[i] or dp[i][k] over first i items/characters,choose previous cut j and combine segment cost,"increasing i, sometimes increasing k",O(n) cut choices,O(n^2) or O(kn^2),O(nk),bottom-up or memo,prefix sums; precomputed segment costs; monotonic optimizations if valid,non-representative / later refinement,heuristic-high,The recurrence is usually min/max over previous cut position.
2054,Two Best Non-Overlapping Events,Medium,64.0%,Weighted Interval / Scheduling DP,Sorted intervals + previous compatible index,dp[i] best using first i jobs/events,take current + dp[p(i)] or skip,increasing sorted end/start,O(log n) for p(i),O(n log n),O(n),bottom-up,binary search previous compatible; heap alternative,non-representative / later refinement,heuristic-high,Greedy interval scheduling becomes DP when weights/profits matter.
2060,Check if an Original String Exists Given Two Encoded Strings,Hard,43.4%,Two-Sequence Alignment DP,Two-prefix/two-suffix sequence DP,dp[i][j] over prefixes/suffixes of two sequences,match/mismatch/delete/insert/skip transitions,row-major or reverse row-major depending prefix/suffix convention,O(1) to O(k),O(mn),"O(min(m,n)) if compressible",bottom-up or memoized recursion,rolling rows; suffix convention clarity,representative,manual-high,Product state space of two sequence positions.
2063,Vowels of All Substrings,Medium,55.4%,Tree DP,Postorder tree DP,dfs(node) returns one or more states,combine child states at parent,postorder DFS,O(children states),O(n * state_count^2 typical),O(h) recursion plus state storage,recursive postorder,tuple states; rerooting if all-nodes answers,non-representative / later refinement,heuristic-high,Tree edges define dependency DAG from children to parent or reroot passes.
2086,Minimum Number of Food Buckets to Feed the Hamsters,Medium,48.3%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
2088,Count Fertile Pyramids in a Land,Hard,66.3%,Grid DP,Row/column path or shape DP,dp[r][c] or dp[step][r][c],combine from neighboring cells / directions,"row-major, reverse, or BFS-like layers",O(neighbor count),O(mn*state),O(n*state) if rolling,bottom-up or memo DFS,rolling rows; prefix sums; direction arrays,non-representative / later refinement,heuristic-high,Grid topology gives natural DAG if moves are acyclic; cyclic movement may require graph shortest path/BFS.
2100,Find Good Days to Rob the Bank,Medium,51.6%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
2110,Number of Smooth Descent Periods of a Stock,Medium,67.7%,1D Prefix/Suffix DP,Run-length local streak DP,dp[i] = length/count of valid run ending at i,extend current descent run or restart,left-to-right,O(1),O(n),O(1),bottom-up,rolling counter,non-representative / later refinement,heuristic-high,Stock word here is not transaction DP; it is run-length DP.
2127,Maximum Employees to Be Invited to a Meeting,Hard,61.8%,Tree DP,Postorder tree DP,dfs(node) returns one or more states,combine child states at parent,postorder DFS,O(children states),O(n * state_count^2 typical),O(h) recursion plus state storage,recursive postorder,tuple states; rerooting if all-nodes answers,representative,manual-high,Tree edges define dependency DAG from children to parent or reroot passes.
2140,Solving Questions With Brainpower,Medium,60.2%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
2143,Choose Numbers From Two Arrays in Range,Hard,52.8%,Knapsack / Capacity DP,Capacity / choice DP,dp[i][capacity] or compressed dp[capacity],include / exclude / repeat item; aggregate min/max/count,"item-major; reverse loop for 0/1, forward for unbounded",O(1) per item-capacity cell,O(n * capacity),O(capacity) if compressed,bottom-up usually,reverse/forward capacity loop; modulo counts; prefix sums,non-representative / later refinement,heuristic-high,"Loop order determines whether states count combinations, permutations, 0/1, or unbounded choices."
2147,Number of Ways to Divide a Long Corridor,Hard,54.6%,Partition DP,Prefix partition / cut DP,dp[i] or dp[i][k] over first i items/characters,choose previous cut j and combine segment cost,"increasing i, sometimes increasing k",O(n) cut choices,O(n^2) or O(kn^2),O(nk),bottom-up or memo,prefix sums; precomputed segment costs; monotonic optimizations if valid,non-representative / later refinement,heuristic-high,The recurrence is usually min/max over previous cut position.
2152,Minimum Number of Lines to Cover Points,Medium,43.9%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
2163,Minimum Difference in Sums After Removal of Elements,Hard,69.7%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
2167,Minimum Time to Remove All Cars Containing Illegal Goods,Hard,41.9%,Kadane / Local-Global DP,Local/global subarray DP,local state ending at i + global answer,extend previous subarray or restart / update transformed state,left-to-right,O(1),O(n),O(1),bottom-up scan,track min/max product; prefix extrema,non-representative / later refinement,heuristic-high,Subarray means contiguous; usually local state ending here is the key.
2172,Maximum AND Sum of Array,Hard,50.6%,Bitmask DP,Assignment / coverage bitmask DP,dp[mask] or dp[i][mask],choose next item/person/group to expand covered mask,increasing mask/popcount or item index,O(n) choices per mask,O(n*2^m) typical,O(2^m),top-down memo or bottom-up mask,precompute contribution; sparse masks,representative,heuristic-high,Bitmask over covered requirements or assigned entities.
2184,Number of Ways to Build Sturdy Brick Wall,Medium,49.5%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
2188,Minimum Time to Finish the Race,Hard,43.3%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
2189,Number of Ways to Build House of Cards,Medium,62.7%,Counting Combinatorics DP,Linear recurrence / finite-state counting,dp[i][state] or dp[i],append one unit/object and update state,increasing size/index,state-dependent,O(n * state_count * transitions),O(state_count),bottom-up,matrix exponentiation if needed; rolling states,non-representative / later refinement,heuristic-high,Counting DP often uses finite automaton states.
2209,Minimum White Tiles After Covering With Carpets,Hard,38.8%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
2218,Maximum Value of K Coins From Piles,Hard,60.4%,Knapsack / Capacity DP,Capacity / choice DP,dp[i][capacity] or compressed dp[capacity],include / exclude / repeat item; aggregate min/max/count,"item-major; reverse loop for 0/1, forward for unbounded",O(1) per item-capacity cell,O(n * capacity),O(capacity) if compressed,bottom-up usually,reverse/forward capacity loop; modulo counts; prefix sums,non-representative / later refinement,heuristic-high,"Loop order determines whether states count combinations, permutations, 0/1, or unbounded choices."
2222,Number of Ways to Select Buildings,Medium,50.9%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
2247,Maximum Cost of Trip With K Highways,Hard,51.1%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
2262,Total Appeal of A String,Hard,56.5%,Kadane / Local-Global DP,Local/global subarray DP,local state ending at i + global answer,extend previous subarray or restart / update transformed state,left-to-right,O(1),O(n),O(1),bottom-up scan,track min/max product; prefix extrema,non-representative / later refinement,heuristic-high,Subarray means contiguous; usually local state ending here is the key.
2263,Make Array Non-decreasing or Non-increasing,Hard,65.5%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
2266,Count Number of Texts,Medium,50.2%,Counting Combinatorics DP,Linear recurrence / finite-state counting,dp[i][state] or dp[i],append one unit/object and update state,increasing size/index,state-dependent,O(n * state_count * transitions),O(state_count),bottom-up,matrix exponentiation if needed; rolling states,non-representative / later refinement,heuristic-high,Counting DP often uses finite automaton states.
2267,Check if There Is a Valid Parentheses String Path,Hard,40.3%,Grid DP,Row/column path or shape DP,dp[r][c] or dp[step][r][c],combine from neighboring cells / directions,"row-major, reverse, or BFS-like layers",O(neighbor count),O(mn*state),O(n*state) if rolling,bottom-up or memo DFS,rolling rows; prefix sums; direction arrays,non-representative / later refinement,heuristic-high,Grid topology gives natural DAG if moves are acyclic; cyclic movement may require graph shortest path/BFS.
2272,Substring With Largest Variance,Hard,46.0%,Tree DP,Postorder tree DP,dfs(node) returns one or more states,combine child states at parent,postorder DFS,O(children states),O(n * state_count^2 typical),O(h) recursion plus state storage,recursive postorder,tuple states; rerooting if all-nodes answers,non-representative / later refinement,heuristic-high,Tree edges define dependency DAG from children to parent or reroot passes.
2289,Steps to Make Array Non-decreasing,Medium,24.8%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
2291,Maximum Profit From Trading Stocks,Medium,48.2%,Stock State-Machine DP,Budgeted stock trading / knapsack-like stock DP,dp[day][holding][transaction/cooldown/fee state],buy / sell / hold / rest transitions,increasing day,O(number of legal actions per state),O(n * state_count),O(state_count),bottom-up state machine,state compression; greedy if unconstrained,representative,manual-high,Use holding/not-holding as the irreducible state axis; constraints add dimensions or shifted transitions.
2297,Jump Game VIII,Medium,45.7%,DP with Monotonic Deque,Sliding-window max DP,dp[i] = nums[i] + max dp[j] for j in window,take best reachable previous state,left-to-right,amortized O(1),O(n),O(n),bottom-up,monotonic deque,representative,manual-high,Deque stores candidate previous dp values in decreasing order.
2304,Minimum Path Cost in a Grid,Medium,68.1%,Grid DP,Row/column path or shape DP,dp[r][c] or dp[step][r][c],combine from neighboring cells / directions,"row-major, reverse, or BFS-like layers",O(neighbor count),O(mn*state),O(n*state) if rolling,bottom-up or memo DFS,rolling rows; prefix sums; direction arrays,non-representative / later refinement,heuristic-high,Grid topology gives natural DAG if moves are acyclic; cyclic movement may require graph shortest path/BFS.
2305,Fair Distribution of Cookies,Medium,69.9%,Knapsack / Capacity DP,Capacity / choice DP,dp[i][capacity] or compressed dp[capacity],include / exclude / repeat item; aggregate min/max/count,"item-major; reverse loop for 0/1, forward for unbounded",O(1) per item-capacity cell,O(n * capacity),O(capacity) if compressed,bottom-up usually,reverse/forward capacity loop; modulo counts; prefix sums,representative,manual-high,"Loop order determines whether states count combinations, permutations, 0/1, or unbounded choices."
2310,Sum of Numbers With Units Digit K,Medium,28.2%,Digit DP,Digit tight-state DP,dp[pos][tight][started][extra_state],choose next digit respecting tight bound,left-to-right over digits,O(10 * extra_state),O(num_digits * states * 10),O(states),top-down memo usually,tight flag; leading-zero handling,representative,manual-high,Carefully separate started/leading zeros and tight/non-tight states.
2311,Longest Binary Subsequence Less Than or Equal to K,Medium,52.8%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
2312,Selling Pieces of Wood,Hard,52.9%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
2313,Minimum Flips in Binary Tree to Get Result,Hard,56.8%,Tree DP,Postorder tree DP,dfs(node) returns one or more states,combine child states at parent,postorder DFS,O(children states),O(n * state_count^2 typical),O(h) recursion plus state storage,recursive postorder,tuple states; rerooting if all-nodes answers,non-representative / later refinement,heuristic-high,Tree edges define dependency DAG from children to parent or reroot passes.
2318,Number of Distinct Roll Sequences,Hard,58.1%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
2320,Count Number of Ways to Place Houses,Medium,43.9%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
2321,Maximum Score Of Spliced Array,Hard,58.4%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
